Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
"Kiss Him, Not Me!",3.44 Excellent,Brain’s Base,Manga,Romantic Comedy,~24min,TV-Series,12,2016,"Being surrounded by lots of pretty boys and at the same time not really being noticed by them because of her overweight would probably be quite a depressing situation for many girls, but Kae Serinuma doesn’t mind. After all, as a big fan of the BL genre, there is little she would rather do than pair them off with each other. But the death of her favourite anime character is about to change her life. She locks herself in her room for days, no longer touches her food and loses weight drastically. So much weight that neither she nor her classmates can recognise her at first glance. As a newborn beauty, Kae is now suddenly extremely popular with the gentlemen and must see how she copes with this situation and her BL fantasies."
Bang Dream! It’s MyGO!!!!!,3.54 Excellent,SANZIGEN Inc.,Original Work,?,~24min,TV-Series,13,2023,"In the middle of the school year, Anon Chihaya transfers to Haneoka Girls’ Academy. Although she has no problem approaching her classmates, many fixed cliques have already formed, and it is difficult for her to make friends. Since it is common for girls at school to found bands together, Anon would like to try this as well, as she also plays the guitar and can sing.  But finding the right bandmate is no easy task. One possible candidate is her classmate Tomori Takamatsu, who, despite her strange nature, has experience as a singer in the band Crychick. However, the then-founder surprisingly left the group, and since then, Tomori has found it difficult to trust other people. Gradually, Anon gets to know the other former members of Crychick and slowly builds up a relationship with them. Will she be able to realise her dream of having her own band with her new friends?"
Altair: A Record of Battles,3.47 Excellent,"MAPPA Co., Ltd.",Manga,Adventure,~24min,TV-Series,24,2017,
Amanchu!,3.46 Excellent,"J.C.STAFF Co., Ltd.",Manga,Slice of Life Drama,~24min,TV-Series,12,2016,
Valvrave the Liberator,3.45 Excellent,SUNRISE Inc.,Original Work,Action,~24min,TV-Series,12,2013,"Thanks to the development of the Dyson Sphere, The majority of the human populace lives in space. The Dorssia Military Federation, and the Atlantic Rim United States exist as major Military countries, while JOIR is a neutral principality, the story follows Haruto Tokishima as a normal boy going thru high school in T.C (True Calendar) year 71. This all changes when Haruto meets the humanoid weapon Valvrave."
"Reborn as a Vending Machine, Now I Wander the Dungeon",3.44 Excellent,"AXsiZ Co., Ltd., Studio Gokumi",Light Novel,Comedy,~24min,TV-Series,12,2023,"A middle-aged man whose only passion was vending machines meets a sudden, inglorious end – by being struck down by just such a machine. Now he finds himself in a strange world, not as a mighty knight or wizard, but as Boxxo, the vending machine! Since he can neither speak nor move, he already believes he will be stuck alone forever in the monster-infested dungeon he landed in.  But then Lammis, a young adventurer, finds him and realises there is more to him than a lifeless machine. She takes him to her village, where he soon meets new allies and significantly changes the world around him. Because when Boxxo is fed with coins, he can always provide new, useful items that make life easier for his new comrades."
Psychic Detective Yakumo,3.44 Excellent,Bee Train Productions Inc.,Light Novel,Crime Fiction,~25min,TV-Series,13,2010,"Haruka Ozawa’s sophomore year is getting seriously scary. One of her friends is possessed, another has committed suicide and Haruka could be the next one to flunk the still-breathing test. Her only way out of this potentially lethal dead end? Yakumo Saitou, an enigmatic student born with a mysterious red eye that allows him to see and communicate with the dead. But the deceased don’t always desist and some killers are more than ready to kill again to keep dead men from telling any more tales. That doesn’t stop Haruka’s knack for digging up buried secrets, and there’s even more evidence of bodies being exhumed by both Yakumo’s police contact and an investigative journalist with a newly made corpse in her closet! Can this pair of anything but normal paranormal detectives solve the ultimate dead case files or will they end up in cold storage themselves?"
Tower of God: Season 2,3.45 Excellent,"The Answer Studio Co., Ltd.",Manhwa,Action Drama,~24min,TV-Series,26,2024,
Eromanga Sensei,3.44 Excellent,A-1 Pictures Inc.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2017,"The story revolves around Masamune Izumi, a high-school student who is already a light-novelist despite his age of only 15 years. Masamune himself only writes the light novels. The highly erotic illustrations for them are made by his illustrator “Eromanga-sensei.” Nobody has ever seen them, however, which is why Masamune assumes that they are just another disgusting and perverted otaku.  His 12-year-old sister, Sagiri Izumi, causes him a completely different kind of trouble. The two are not blood-related, but they have been living alone under the same roof for a year now. Since then, she has locked herself in her room and no longer goes to school, which Masamune would like to change.  However, it turns out that Sagiri is none other than his very illustrator, “Eromanga-sensei.” And to add to all the chaos that breaks out between the two of them, another successful light-novelist tries to entice “Eromanga-sensei” away for her own work."
Mysterious Girlfriend X,3.44 Excellent,Hoods Entertainment Inc.,Manga,Romantic Comedy,~24min,TV-Series,13,2012,"One day, a strange exchange student comes to Akira’s class: Mikoto Urabe. She is a loner whose hobby is sleeping during recess. When Akira “tries” her spit out of curiosity, he falls ill. The only antidote is a daily dose of spit from Mikoto. It doesn’t take long, and the two become a couple. Gradually, Mikoto’s other unusual hobbies and idiosyncrasies come to light. For example, she carries scissors in her pants all the time and is a master at using them."
Rewrite (Season 2),3.45 Excellent,"8bit Corp, Inc.",Visual Novel,Action,~25min,TV-Series,11,2017,
Elemental Gelade,3.44 Excellent,"XEBEC, Inc.",Manga,Adventure,~24min,TV-Series,26,2005,"Cou, the bumbling rookie of the ""Red Lynx"" sky pirates, wakes Ren from suspended animation and discovers the adventure of a lifetime! At first glance, Ren seems shy and defenseless, but she holds within her a power that many will kill to possess. Cou vows to protect Ren on her journey to the mythical paradise of Edel Garden, a journey which will reveal new friends and dangerous enemies."
